Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2021 HK),2021-Apr-15 00:00 ± < 00:01,5.69 | 0.01461,5.66 | 0.01455,9.68,9.66,26.5,14 m -   30 m,bK21H00K
(2021 HE2),2021-Apr-15 01:27 ±    00:01,15.49 | 0.03980,15.45 | 0.03970,5.97,5.96,25.8,18 m -   41 m,bK21H02E
(2021 GQ2),2021-Apr-15 04:43 ± < 00:01,7.65 | 0.01966,7.63 | 0.01960,17.67,17.66,24.6,32 m -   72 m,bK21G02Q
(2021 HC1),2021-Apr-15 04:44 ± < 00:01,0.60 | 0.00155,0.60 | 0.00154,9.31,9.12,28,6.8 m -   15 m,bK21H01C
(2021 HU1),2021-Apr-15 07:22 ± < 00:01,5.44 | 0.01397,5.42 | 0.01392,7.59,7.57,26.5,13 m -   30 m,bK21H01U
(2020 UY1),2021-Apr-15 07:50 ±    04:37,15.96 | 0.04101,14.03 | 0.03605,8.75,8.74,26,17 m -   38 m,bK20U01Y
(2021 GF10),2021-Apr-15 09:29 ± < 00:01,0.30 | 0.00077,0.30 | 0.00077,13.7,13.45,28.2,6.2 m -   14 m,bK21G10F
(2021 GE6),2021-Apr-15 09:45 ±    00:03,2.90 | 0.00745,2.88 | 0.00739,3.34,3.24,28.8,4.6 m -   10 m,bK21G06E
(2021 HA2),2021-Apr-15 18:50 ±    00:02,3.37 | 0.00865,3.36 | 0.00862,10.44,10.41,27.1,10 m -   23 m,bK21H02A
(2021 GN10),2021-Apr-15 22:31 ± < 00:01,0.75 | 0.00192,0.75 | 0.00192,12.02,11.9,28.4,5.6 m -   12 m,bK21G10N
(2017 HG4),2021-Apr-16 04:55 ± < 00:01,8.70 | 0.02236,8.70 | 0.02236,4.2,4.17,27.7,7.7 m -   17 m,bK17H04G
(2021 HB2),2021-Apr-16 07:29 ±    00:01,3.65 | 0.00939,3.65 | 0.00937,5.95,5.91,28.3,5.7 m -   13 m,bK21H02B
(2021 HU2),2021-Apr-16 08:30 ± < 00:01,19.03 | 0.04891,18.80 | 0.04831,11.38,11.38,24.7,31 m -   70 m,bK21H02U
(2021 GG2),2021-Apr-16 17:18 ± < 00:01,9.61 | 0.02470,9.58 | 0.02462,7.16,7.14,26,17 m -   38 m,bK21G02G
(2021 HB),2021-Apr-17 03:02 ±    00:01,6.67 | 0.01713,6.62 | 0.01702,17.04,17.03,26.7,12 m -   27 m,bK21H00B
(2021 HE1),2021-Apr-17 08:01 ± < 00:01,0.59 | 0.00153,0.59 | 0.00152,11.73,11.58,28.9,4.4 m -  9.7 m,bK21H01E
(2021 HD1),2021-Apr-17 10:38 ± < 00:01,15.18 | 0.03901,15.09 | 0.03878,4.41,4.4,26.8,12 m -   26 m,bK21H01D
(2020 HE5),2021-Apr-17 16:50 ±    00:09,8.48 | 0.02178,8.34 | 0.02143,4.32,4.29,27.7,7.7 m -   17 m,bK20H05E
(2021 HY2),2021-Apr-17 18:19 ±    00:02,1.95 | 0.00500,1.93 | 0.00497,7.89,7.82,28.9,4.5 m - 10.0 m,bK21H02Y
(2021 HL),2021-Apr-17 19:00 ± < 00:01,4.69 | 0.01204,4.68 | 0.01201,5.44,5.4,27.6,8.0 m -   18 m,bK21H00L
(2021 GU5),2021-Apr-17 19:54 ±    00:07,5.22 | 0.01340,5.18 | 0.01332,8.31,8.28,25.8,18 m -   41 m,bK21G05U
(2021 GO10),2021-Apr-17 20:04 ± < 00:01,10.08 | 0.02589,10.00 | 0.02570,8.37,8.35,27.3,9.3 m -   21 m,bK21G10O
(2021 GX9),2021-Apr-18 06:37 ± < 00:01,6.11 | 0.01569,6.10 | 0.01567,16.32,16.31,25.4,23 m -   50 m,bK21G09X
(2021 GD13),2021-Apr-18 07:13 ±    00:05,1.27 | 0.00327,1.27 | 0.00325,17.45,17.4,28.4,5.6 m -   12 m,bK21G13D
(2021 GX3),2021-Apr-18 09:10 ± < 00:01,9.28 | 0.02385,9.20 | 0.02365,6.58,6.57,27.1,10 m -   23 m,bK21G03X
(2021 HM),2021-Apr-18 09:15 ± < 00:01,1.72 | 0.00441,1.72 | 0.00441,6.64,6.55,25.5,21 m -   47 m,bK21H00M
(2021 JL),2021-Apr-18 16:29 ± < 00:01,9.55 | 0.02453,9.49 | 0.02438,6.26,6.24,26,17 m -   37 m,bK21J00L
(2021 HN),2021-Apr-19 07:53 ± < 00:01,0.66 | 0.00170,0.66 | 0.00170,18.12,18.04,26.9,11 m -   25 m,bK21H00N
(2021 HZ2),2021-Apr-19 09:33 ± < 00:01,5.94 | 0.01525,5.92 | 0.01520,12.28,12.26,25.7,19 m -   43 m,bK21H02Z
(2021 GM3),2021-Apr-19 13:54 ± < 00:01,2.09 | 0.00538,2.09 | 0.00538,5.17,5.08,28.1,6.3 m -   14 m,bK21G03M
(2021 GL3),2021-Apr-19 14:57 ± < 00:01,8.24 | 0.02117,8.21 | 0.02110,10.88,10.87,25.8,19 m -   41 m,bK21G03L
(2021 GA10),2021-Apr-19 15:05 ±    00:07,1.45 | 0.00373,1.45 | 0.00373,11.25,11.18,27.7,7.7 m -   17 m,bK21G10A
(2021 HO2),2021-Apr-19 16:54 ± < 00:01,5.85 | 0.01503,5.83 | 0.01498,6.59,6.56,27.9,7.0 m -   16 m,bK21H02O
(2021 GX7),2021-Apr-20 05:48 ±    00:05,6.46 | 0.01660,6.41 | 0.01647,11.03,11.02,26.7,12 m -   27 m,bK21G07X
(2019 HQ),2021-Apr-20 07:39 ±    06:23,14.76 | 0.03792,13.55 | 0.03482,8.81,8.8,26.2,15 m -   34 m,bK19H00Q
(2021 HD),2021-Apr-20 07:43 ± < 00:01,10.50 | 0.02698,10.46 | 0.02687,11.29,11.28,26.3,15 m -   33 m,bK21H00D
(2021 GJ3),2021-Apr-21 02:27 ± < 00:01,3.84 | 0.00987,3.83 | 0.00985,13.46,13.44,23.7,48 m -  110 m,bK21G03J
(2021 HD2),2021-Apr-21 05:01 ± < 00:01,8.65 | 0.02222,8.63 | 0.02217,7.66,7.64,27.1,10 m -   23 m,bK21H02D
(2021 GD3),2021-Apr-21 11:12 ± < 00:01,10.76 | 0.02766,10.74 | 0.02759,3.53,3.5,27,11 m -   24 m,bK21G03D
(2021 HN2),2021-Apr-21 11:30 ± < 00:01,1.31 | 0.00336,1.30 | 0.00334,21.92,21.88,28.5,5.3 m -   12 m,bK21H02N
(2021 GZ9),2021-Apr-22 06:42 ±    00:05,15.95 | 0.04098,15.80 | 0.04061,3.19,3.17,26.4,14 m -   31 m,bK21G09Z
(2021 GO16),2021-Apr-22 06:51 ± < 00:01,17.20 | 0.04418,17.10 | 0.04394,12.59,12.59,24.2,38 m -   84 m,bK21G16O
(2021 HY9),2021-Apr-22 10:27 ± < 00:01,4.90 | 0.01260,4.88 | 0.01254,10.1,10.08,28.1,6.4 m -   14 m,bK21H09Y
(2020 HO5),2021-Apr-22 16:49 ±    00:09,16.48 | 0.04234,16.40 | 0.04213,3.34,3.32,28.5,5.3 m -   12 m,bK20H05O
(2021 HB3),2021-Apr-22 19:24 ± < 00:01,12.07 | 0.03102,12.02 | 0.03088,9.7,9.69,24.8,29 m -   65 m,bK21H03B
(2021 JG),2021-Apr-22 21:17 ±    01:17,8.07 | 0.02073,7.98 | 0.02051,9.56,9.55,26.1,16 m -   35 m,bK21J00G
(2021 HG2),2021-Apr-23 09:39 ± < 00:01,8.00 | 0.02055,7.98 | 0.02051,7.71,7.69,25.1,25 m -   56 m,bK21H02G
(2021 GP4),2021-Apr-23 17:30 ± < 00:01,17.97 | 0.04619,17.90 | 0.04599,8.94,8.94,25,27 m -   59 m,bK21G04P
(2021 HP2),2021-Apr-23 18:13 ± < 00:01,5.94 | 0.01525,5.91 | 0.01518,10.23,10.22,27.4,8.7 m -   19 m,bK21H02P
(2019 PS1),2021-Apr-23 20:44 ± 6_01:57,14.48 | 0.03720,14.03 | 0.03606,9.98,9.97,26.8,12 m -   26 m,bK19P01S
(2021 HW1),2021-Apr-23 22:23 ± < 00:01,17.49 | 0.04495,17.40 | 0.04470,13.86,13.86,25.1,26 m -   58 m,bK21H01W
(2016 QE45),2021-Apr-24 01:49 ± < 00:01,13.20 | 0.03391,13.20 | 0.03391,15.26,15.25,21.8,120 m -  260 m,bK16Q45E
(2021 JJ4),2021-Apr-24 03:34 ±    00:57,8.89 | 0.02284,8.63 | 0.02218,8.64,8.63,26.1,16 m -   35 m,bK21J04J
(2021 HG1),2021-Apr-24 08:31 ± < 00:01,6.38 | 0.01640,6.37 | 0.01636,10.31,10.3,27.1,10 m -   23 m,bK21H01G
(2021 FK3),2021-Apr-24 17:45 ± < 00:01,15.72 | 0.04041,15.70 | 0.04035,14.05,14.04,22.4,88 m -  200 m,bK21F03K
(2021 GF8),2021-Apr-26 00:13 ± < 00:01,5.46 | 0.01402,5.44 | 0.01399,7.05,7.03,25.8,19 m -   42 m,bK21G08F
(2021 HM2),2021-Apr-26 08:39 ± < 00:01,5.00 | 0.01285,4.99 | 0.01282,15.64,15.63,24,42 m -   95 m,bK21H02M
(2015 HA177),2021-Apr-26 10:36 ± 4_17:05,19.21 | 0.04937,0.88 | 0.00225,8.75,8.75,27.7,7.7 m -   17 m,bK15HH7A
(2021 JK),2021-Apr-26 12:59 ± < 00:01,18.13 | 0.04659,17.66 | 0.04537,10.22,10.21,25.9,17 m -   39 m,bK21J00K
(2021 JF),2021-Apr-26 21:51 ± < 00:01,10.87 | 0.02794,10.84 | 0.02784,5.94,5.92,26.3,15 m -   33 m,bK21J00F
(2019 HF4),2021-Apr-26 22:23 ± 7_20:11,7.74 | 0.01989,1.22 | 0.00314,6.76,6.74,27.6,8.0 m -   18 m,bK19H04F
(2021 GG11),2021-Apr-27 05:43 ± < 00:01,4.76 | 0.01223,4.75 | 0.01220,14.77,14.75,23.1,63 m -  140 m,bK21G11G
(2021 HF2),2021-Apr-27 06:50 ± < 00:01,18.94 | 0.04867,18.84 | 0.04840,17.75,17.75,24.9,28 m -   62 m,bK21H02F
(2021 JB),2021-Apr-28 03:19 ± < 00:01,5.79 | 0.01488,5.77 | 0.01483,8.15,8.12,26.7,12 m -   27 m,bK21J00B
(2021 GT9),2021-Apr-28 03:29 ± < 00:01,10.90 | 0.02800,10.84 | 0.02785,5.88,5.87,26.6,13 m -   29 m,bK21G09T
(2021 JH),2021-Apr-28 07:07 ±    00:25,2.29 | 0.00589,2.24 | 0.00575,13,12.97,27.6,8.1 m -   18 m,bK21J00H
(2021 HQ1),2021-Apr-28 17:55 ± < 00:01,18.08 | 0.04645,18.05 | 0.04638,4.55,4.53,26.4,14 m -   32 m,bK21H01Q
(2021 HH),2021-Apr-29 00:15 ± < 00:01,14.29 | 0.03673,14.20 | 0.03649,16.49,16.48,25.1,26 m -   57 m,bK21H00H
(2021 JB3),2021-Apr-29 10:33 ±    00:03,10.73 | 0.02758,10.61 | 0.02726,7.43,7.42,26.1,16 m -   35 m,bK21J03B
(2021 HU),2021-Apr-29 10:53 ± < 00:01,9.70 | 0.02494,9.68 | 0.02488,10.86,10.85,25.3,23 m -   52 m,bK21H00U
(2021 EZ4),2021-Apr-29 13:42 ± < 00:01,14.82 | 0.03808,14.82 | 0.03807,2.47,2.44,26.2,16 m -   35 m,bK21E04Z
(2021 HA),2021-Apr-30 09:06 ±    00:01,7.74 | 0.01990,7.70 | 0.01978,5.95,5.92,25.6,20 m -   46 m,bK21H00A
(2021 HB1),2021-Apr-30 23:15 ± < 00:01,12.16 | 0.03126,12.05 | 0.03097,10.73,10.72,25,27 m -   59 m,bK21H01B
(2021 HA3),2021-Apr-30 23:33 ± < 00:01,7.80 | 0.02005,7.75 | 0.01992,13.74,13.73,23.4,57 m -  130 m,bK21H03A
(2019 VT3),2021-May-01 04:54 ±    00:57,12.03 | 0.03091,11.51 | 0.02958,5.94,5.92,28.2,6.1 m -   14 m,bK19V03T
(2021 JP2),2021-May-01 06:50 ±    00:12,5.69 | 0.01462,5.62 | 0.01445,20.19,20.18,25.3,23 m -   51 m,bK21J02P
(2021 JM1),2021-May-01 07:07 ± < 00:01,5.03 | 0.01293,5.01 | 0.01288,8.52,8.49,27.3,9.2 m -   21 m,bK21J01M
(2021 JY1),2021-May-01 07:19 ± < 00:01,19.45 | 0.04998,19.30 | 0.04958,10.86,10.86,25.3,23 m -   52 m,bK21J01Y
(2021 HH1),2021-May-01 22:53 ± < 00:01,16.19 | 0.04160,16.05 | 0.04125,15.16,15.16,23.4,56 m -  130 m,bK21H01H
(2021 JH5),2021-May-02 01:08 ±    00:15,6.84 | 0.01757,6.82 | 0.01752,14.86,14.85,25.7,19 m -   42 m,bK21J05H
(2021 JX),2021-May-02 02:23 ± < 00:01,4.58 | 0.01177,4.57 | 0.01174,7.12,7.09,27.4,9.0 m -   20 m,bK21J00X
(2021 JO1),2021-May-02 12:29 ± < 00:01,13.65 | 0.03508,13.62 | 0.03499,11.11,11.1,25.4,22 m -   49 m,bK21J01O
(2021 JA3),2021-May-02 12:58 ± < 00:01,7.06 | 0.01813,6.98 | 0.01794,6.86,6.84,25,27 m -   60 m,bK21J03A
(2021 JW),2021-May-02 14:21 ± < 00:01,0.67 | 0.00173,0.67 | 0.00173,19.28,19.2,27.6,8.0 m -   18 m,bK21J00W
(2021 JW2),2021-May-03 09:20 ± < 00:01,9.09 | 0.02337,9.07 | 0.02331,4.35,4.32,27.6,7.9 m -   18 m,bK21J02W
(2021 JF2),2021-May-03 21:13 ± < 00:01,11.12 | 0.02856,11.07 | 0.02845,8.82,8.81,26.3,14 m -   32 m,bK21J02F
(2021 HT1),2021-May-03 22:39 ± < 00:01,13.39 | 0.03440,13.26 | 0.03406,11.27,11.26,26.2,15 m -   34 m,bK21H01T
(2021 AF8),2021-May-04 12:14 ± < 00:01,8.74 | 0.02246,8.74 | 0.02246,9.41,9.39,20.2,240 m -  540 m,bK21A08F
(2021 KM),2021-May-04 12:50 ±    00:49,13.69 | 0.03519,13.54 | 0.03480,8.97,8.96,25.6,20 m -   46 m,bK21K00M
(2021 HC3),2021-May-04 18:05 ± < 00:01,18.49 | 0.04751,18.42 | 0.04732,25.25,25.25,21.6,130 m -  290 m,bK21H03C
(2021 JV),2021-May-04 21:29 ± < 00:01,0.36 | 0.00094,0.36 | 0.00093,10.19,9.91,27.4,8.6 m -   19 m,bK21J00V
(2021 KY),2021-May-05 04:23 ±    00:04,13.53 | 0.03476,13.45 | 0.03455,8.64,8.63,25.1,25 m -   56 m,bK21K00Y
(2021 JZ),2021-May-05 14:45 ± < 00:01,11.01 | 0.02829,10.98 | 0.02820,10.84,10.84,25.8,19 m -   41 m,bK21J00Z
(2021 JD3),2021-May-05 15:09 ± < 00:01,8.91 | 0.02289,8.87 | 0.02279,9.39,9.38,26.1,16 m -   36 m,bK21J03D
(2018 JP),2021-May-05 15:50 ± 1_04:41,11.34 | 0.02913,7.48 | 0.01923,7.86,7.85,27.4,8.8 m -   20 m,bK18J00P
(2021 JC3),2021-May-05 21:03 ± < 00:01,3.09 | 0.00795,3.08 | 0.00790,18.13,18.11,25.9,17 m -   39 m,bK21J03C
(2021 JA1),2021-May-06 03:29 ± < 00:01,2.71 | 0.00697,2.71 | 0.00695,21.07,21.05,25.6,20 m -   45 m,bK21J01A
(2021 JS1),2021-May-06 07:38 ± < 00:01,0.29 | 0.00074,0.29 | 0.00074,22.71,22.55,28.5,5.3 m -   12 m,bK21J01S
(2021 JB1),2021-May-06 09:16 ± < 00:01,2.96 | 0.00762,2.95 | 0.00758,12.07,12.04,27.2,9.7 m -   22 m,bK21J01B
(2021 JN1),2021-May-06 13:45 ± < 00:01,16.91 | 0.04345,16.84 | 0.04326,16.22,16.22,24.8,30 m -   66 m,bK21J01N
(2021 JE),2021-May-06 15:16 ±    00:01,17.63 | 0.04531,17.54 | 0.04507,8.21,8.2,25.8,19 m -   41 m,bK21J00E
(2021 AE4),2021-May-06 15:59 ±    00:01,18.41 | 0.04730,18.41 | 0.04729,9.07,9.06,21.8,120 m -  260 m,bK21A04E
(2021 JD2),2021-May-07 02:48 ± < 00:01,9.22 | 0.02368,9.19 | 0.02362,7.56,7.55,26.5,13 m -   30 m,bK21J02D
(2021 JE6),2021-May-07 06:36 ±    00:01,9.40 | 0.02414,9.30 | 0.02390,15.67,15.66,25,27 m -   61 m,bK21J06E
(2021 HF1),2021-May-07 09:17 ±    00:01,12.39 | 0.03185,12.35 | 0.03174,2.85,2.82,27.9,7.2 m -   16 m,bK21H01F
(2021 JT4),2021-May-07 17:31 ± < 00:01,4.78 | 0.01228,4.76 | 0.01224,19.25,19.24,25.7,19 m -   43 m,bK21J04T
(2021 JP1),2021-May-07 18:23 ± < 00:01,8.47 | 0.02176,8.44 | 0.02170,16.26,16.25,26,17 m -   38 m,bK21J01P
(2021 KB1),2021-May-07 22:22 ±    00:02,14.71 | 0.03779,14.64 | 0.03762,3.38,3.36,26.6,13 m -   29 m,bK21K01B
(2021 JQ2),2021-May-08 10:47 ± < 00:01,0.17 | 0.00045,0.17 | 0.00045,8.67,7.95,30,2.6 m -  5.9 m,bK21J02Q
(2021 JD9),2021-May-09 04:24 ± < 00:01,3.12 | 0.00801,3.11 | 0.00800,9.73,9.7,26.6,13 m -   29 m,bK21J09D
(2021 JS3),2021-May-10 02:54 ± < 00:01,12.84 | 0.03299,12.79 | 0.03286,9.19,9.18,25.8,18 m -   41 m,bK21J03S
(2021 JP5),2021-May-10 06:20 ± < 00:01,14.73 | 0.03786,14.67 | 0.03770,10.7,10.7,25.1,26 m -   58 m,bK21J05P
(2021 JA2),2021-May-10 10:23 ± < 00:01,12.51 | 0.03214,12.42 | 0.03190,13.17,13.16,25.9,17 m -   38 m,bK21J02A
(2021 JT),2021-May-10 11:13 ± < 00:01,5.85 | 0.01502,5.83 | 0.01497,8.22,8.2,27.3,9.0 m -   20 m,bK21J00T
(2021 GM10),2021-May-10 20:22 ± < 00:01,12.69 | 0.03261,12.62 | 0.03242,5.79,5.78,24.9,28 m -   63 m,bK21G10M
(2021 JZ5),2021-May-10 23:46 ± < 00:01,1.02 | 0.00262,1.02 | 0.00262,16.08,16.02,28.4,5.7 m -   13 m,bK21J05Z
(2021 KX),2021-May-11 01:12 ± < 00:01,17.19 | 0.04416,17.14 | 0.04404,9.39,9.38,24.7,31 m -   70 m,bK21K00X
(2021 JX3),2021-May-11 09:48 ±    00:04,18.63 | 0.04787,18.44 | 0.04737,13.46,13.46,25.3,23 m -   51 m,bK21J03X
(2021 GK1),2021-May-11 17:22 ± < 00:01,1.48 | 0.00379,1.48 | 0.00379,2.01,1.63,27,10 m -   23 m,bK21G01K
(2021 KV1),2021-May-11 20:22 ± < 00:01,12.27 | 0.03153,12.17 | 0.03127,13.84,13.83,25.7,19 m -   43 m,bK21K01V
(2021 JR3),2021-May-12 01:56 ± < 00:01,2.03 | 0.00521,2.02 | 0.00520,17.8,17.77,24.9,27 m -   61 m,bK21J03R
(2021 JC),2021-May-12 05:26 ± < 00:01,13.65 | 0.03508,13.54 | 0.03478,11.3,11.29,25,27 m -   59 m,bK21J00C
(2021 JO5),2021-May-12 07:20 ± < 00:01,17.81 | 0.04576,17.80 | 0.04574,8.77,8.76,24.4,35 m -   79 m,bK21J05O
(2021 JO3),2021-May-12 08:10 ± < 00:01,11.67 | 0.02998,11.63 | 0.02987,10.57,10.56,26,17 m -   37 m,bK21J03O
(2021 JD),2021-May-12 10:50 ±    00:20,16.54 | 0.04250,16.46 | 0.04229,2.86,2.83,26.6,13 m -   28 m,bK21J00D
(2021 JN3),2021-May-12 20:37 ± < 00:01,3.03 | 0.00779,3.02 | 0.00777,11.69,11.66,26.7,12 m -   28 m,bK21J03N
(2021 JG2),2021-May-12 22:48 ±    00:01,12.75 | 0.03277,12.63 | 0.03245,9.67,9.66,26.5,14 m -   30 m,bK21J02G
(2021 JC1),2021-May-12 23:52 ± < 00:01,14.45 | 0.03713,14.33 | 0.03683,21.06,21.05,24.4,35 m -   77 m,bK21J01C
(2021 JG9),2021-May-13 01:05 ± < 00:01,7.03 | 0.01808,7.00 | 0.01799,15.67,15.66,25.2,24 m -   54 m,bK21J09G
(2021 LM),2021-May-13 14:35 ± < 00:01,9.47 | 0.02434,9.44 | 0.02425,5.74,5.72,26.3,14 m -   32 m,bK21L00M
(2021 JX5),2021-May-13 21:19 ± < 00:01,9.70 | 0.02491,9.67 | 0.02484,7.32,7.3,26.9,11 m -   25 m,bK21J05X
(2021 JB6),2021-May-13 22:55 ± < 00:01,0.27 | 0.00071,0.27 | 0.00071,8.98,8.55,28.8,4.7 m -   10 m,bK21J06B
(2021 JY3),2021-May-14 01:05 ± < 00:01,2.80 | 0.00719,2.80 | 0.00719,3.86,3.76,28.4,5.4 m -   12 m,bK21J03Y
(2021 JH3),2021-May-14 01:53 ± < 00:01,5.62 | 0.01443,5.59 | 0.01437,11.49,11.47,27,11 m -   24 m,bK21J03H
(2021 KB),2021-May-14 02:11 ± < 00:01,4.00 | 0.01029,3.99 | 0.01026,12.88,12.86,26,17 m -   37 m,bK21K00B
(2015 KJ19),2021-May-14 10:04 ± < 00:01,15.01 | 0.03856,15.01 | 0.03856,23.04,23.04,22.5,84 m -  190 m,bK15K19J
(2021 JU3),2021-May-14 14:24 ± < 00:01,1.81 | 0.00466,1.81 | 0.00466,11.83,11.78,27.1,10 m -   23 m,bK21J03U
(2021 JU6),2021-May-14 15:01 ± < 00:01,0.17 | 0.00044,0.17 | 0.00044,11.6,11.07,27.1,10 m -   23 m,bK21J06U
(2021 JC4),2021-May-14 18:59 ± < 00:01,6.07 | 0.01560,6.05 | 0.01555,13.81,13.8,26.2,15 m -   35 m,bK21J04C
(2021 JH4),2021-May-14 19:22 ± < 00:01,5.82 | 0.01495,5.81 | 0.01492,9.48,9.46,25.6,20 m -   45 m,bK21J04H
(2021 LT),2021-May-14 19:57 ±    04:25,17.16 | 0.04408,16.78 | 0.04312,10.62,10.62,25.6,20 m -   45 m,bK21L00T
(2021 KJ),2021-May-15 01:28 ± < 00:01,13.43 | 0.03451,13.37 | 0.03437,7.1,7.09,25.2,24 m -   55 m,bK21K00J
(2021 JL5),2021-May-15 04:37 ± < 00:01,4.46 | 0.01146,4.45 | 0.01143,9.71,9.69,27.7,7.6 m -   17 m,bK21J05L
(2021 KH),2021-May-15 11:01 ± < 00:01,3.97 | 0.01019,3.95 | 0.01016,8.5,8.47,26.4,14 m -   32 m,bK21K00H
(2021 JO2),2021-May-15 17:06 ± < 00:01,9.64 | 0.02478,9.58 | 0.02461,7.62,7.61,26.4,14 m -   31 m,bK21J02O
(2021 JR2),2021-May-15 19:19 ± < 00:01,14.71 | 0.03779,14.56 | 0.03742,11.87,11.86,24.5,33 m -   75 m,bK21J02R
(2021 JM3),2021-May-16 00:03 ± < 00:01,7.03 | 0.01807,7.01 | 0.01801,8.02,8,27.1,10 m -   23 m,bK21J03M
(2021 KR1),2021-May-16 01:31 ±    00:03,3.70 | 0.00952,3.69 | 0.00947,8.03,8,27.6,7.9 m -   18 m,bK21K01R
(2021 JR7),2021-May-16 07:49 ± < 00:01,5.40 | 0.01387,5.39 | 0.01385,4.91,4.87,25.4,22 m -   49 m,bK21J07R
(2021 JE2),2021-May-16 13:38 ± < 00:01,12.14 | 0.03119,12.07 | 0.03101,12.54,12.53,25.4,22 m -   48 m,bK21J02E
(2021 JU2),2021-May-16 16:05 ± < 00:01,14.93 | 0.03837,14.87 | 0.03821,9.3,9.3,25.4,22 m -   49 m,bK21J02U
(2021 JN10),2021-May-16 19:08 ± < 00:01,4.01 | 0.01032,3.98 | 0.01024,14.14,14.12,25.2,25 m -   55 m,bK21J10N
(2021 KG),2021-May-17 09:53 ± < 00:01,1.68 | 0.00432,1.68 | 0.00432,8.17,8.09,27.8,7.2 m -   16 m,bK21K00G
(2021 JA5),2021-May-17 19:34 ± < 00:01,7.57 | 0.01946,7.54 | 0.01938,10.7,10.69,26.4,14 m -   31 m,bK21J05A
(2021 JY5),2021-May-18 08:26 ± < 00:01,3.54 | 0.00910,3.54 | 0.00909,2.98,2.87,27.4,8.7 m -   19 m,bK21J05Y
(2021 JF3),2021-May-18 08:49 ± < 00:01,11.83 | 0.03041,11.81 | 0.03035,11.73,11.72,24.2,38 m -   85 m,bK21J03F
(2021 JR4),2021-May-18 10:09 ± < 00:01,7.09 | 0.01823,7.09 | 0.01822,7.64,7.62,25.1,26 m -   58 m,bK21J04R
(2021 KQ1),2021-May-18 17:08 ± < 00:01,3.31 | 0.00850,3.30 | 0.00847,10.94,10.91,27.9,7.0 m -   16 m,bK21K01Q
(2021 KS1),2021-May-18 17:59 ±    00:09,7.11 | 0.01827,7.07 | 0.01817,3.82,3.79,28.3,5.9 m -   13 m,bK21K01S
(2021 JC9),2021-May-18 19:39 ± < 00:01,13.08 | 0.03362,13.05 | 0.03352,12.56,12.55,25.4,22 m -   50 m,bK21J09C
(2021 KJ2),2021-May-18 20:26 ±    00:03,4.86 | 0.01250,4.81 | 0.01235,14.82,14.8,26.3,15 m -   33 m,bK21K02J
478784 (2012 UV136),2021-May-18 20:57 ± < 00:01,15.74 | 0.04045,15.74 | 0.04045,4.97,4.96,25.6,20 m -   45 m,a0478784
(2021 LR2),2021-May-19 07:02 ±    00:10,15.27 | 0.03925,15.19 | 0.03903,8.38,8.37,25,27 m -   60 m,bK21L02R
(2021 KA),2021-May-19 15:59 ± < 00:01,3.95 | 0.01016,3.95 | 0.01014,5.13,5.08,27.7,7.6 m -   17 m,bK21K00A
(2021 KK1),2021-May-20 06:45 ±    00:06,12.91 | 0.03318,12.29 | 0.03159,6.74,6.73,25.2,25 m -   55 m,bK21K01K
(2021 JJ3),2021-May-20 07:37 ± < 00:01,17.14 | 0.04404,17.10 | 0.04394,6.26,6.25,25.4,22 m -   50 m,bK21J03J
(2021 JE1),2021-May-20 19:57 ± < 00:01,7.40 | 0.01901,7.39 | 0.01899,7.63,7.61,26.7,12 m -   27 m,bK21J01E
(2021 LP),2021-May-21 06:51 ±    00:03,11.31 | 0.02905,11.25 | 0.02891,13.23,13.23,24.4,34 m -   77 m,bK21L00P
(2021 JQ6),2021-May-21 15:35 ± < 00:01,5.90 | 0.01516,5.83 | 0.01499,19.41,19.41,25.6,20 m -   44 m,bK21J06Q
(2021 KC),2021-May-21 23:36 ± < 00:01,7.86 | 0.02019,7.85 | 0.02017,7.87,7.86,23.5,54 m -  120 m,bK21K00C
(2021 HJ2),2021-May-22 00:18 ± < 00:01,16.03 | 0.04119,16.02 | 0.04118,8.23,8.23,23.3,57 m -  130 m,bK21H02J
(2021 JY9),2021-May-22 10:05 ± < 00:01,3.82 | 0.00983,3.80 | 0.00975,7.98,7.95,26.8,12 m -   26 m,bK21J09Y
(2021 KH2),2021-May-22 12:16 ± < 00:01,2.45 | 0.00629,2.45 | 0.00629,6.43,6.37,25.3,23 m -   52 m,bK21K02H
(2021 KW),2021-May-22 15:21 ±    00:02,1.99 | 0.00510,1.98 | 0.00508,15.52,15.49,27.8,7.4 m -   17 m,bK21K00W
(2021 JK7),2021-May-22 17:14 ± < 00:01,18.94 | 0.04867,18.84 | 0.04840,22.32,22.32,24.4,36 m -   80 m,bK21J07K
(2021 KL1),2021-May-23 05:12 ±    00:09,3.20 | 0.00823,3.18 | 0.00816,10.84,10.81,27.4,8.7 m -   20 m,bK21K01L
(2021 JJ5),2021-May-23 07:16 ± < 00:01,13.04 | 0.03351,12.97 | 0.03332,8.68,8.68,25.2,25 m -   55 m,bK21J05J
(2021 KC1),2021-May-23 07:42 ±    00:03,15.98 | 0.04105,15.80 | 0.04060,7.58,7.57,25.9,17 m -   38 m,bK21K01C
